Iteration,units,activation,epochs,dropout_rate,learning_rate,val_loss,timestamp
1,105,tanh,16,0.33874006317859484,0.0007792297153882995,0.0002953310904558748,2025-04-01 15:09:49
2,27,relu,9,0.15714672716877634,0.0020034427927560746,0.0036238133907318115,2025-04-01 15:16:48
3,22,sigmoid,19,0.10031150633640573,0.009647685075720105,0.0022349622255812087,2025-04-01 15:30:12
4,85,relu,3,0.10922497001656631,0.0011208547084229365,0.003686293804397186,2025-04-01 15:36:00
5,61,tanh,20,0.19310853617212173,0.00015177941306507493,0.001115323282040966,2025-04-01 16:08:46
6,85,relu,20,0.286705157299192,0.005246634533625288,0.004945503935838739,2025-04-01 16:29:12
7,92,relu,3,0.4768807022739412,0.0013383707472536775,0.004729779592404763,2025-04-01 16:31:08
8,59,tanh,7,0.19641018641040472,0.0023255572624036797,0.0012915943419405569,2025-04-01 16:34:31
9,84,sigmoid,6,0.25642424302929634,0.00023145798905204883,0.004261650300274293,2025-04-01 18:27:40
10,101,relu,7,0.3270801311279966,0.00011551186209730989,0.003914990772803624,2025-04-01 18:32:23
11,16,tanh,14,0.4889805876249754,0.000165303104422025,0.003920015102873246,2025-04-01 18:36:09
12,127,tanh,18,0.10173620552612635,0.003134446925735596,0.00022158918242591122,2025-04-01 20:08:18
13,17,sigmoid,18,0.49721353497136966,0.0013346542119639193,0.0036007841117680073,2025-04-01 20:13:53
14,127,sigmoid,11,0.10717038657391909,0.002776769428629401,0.0007418857130687684,2025-04-01 20:23:14
15,96,tanh,16,0.1,0.00010959454994549392,0.0015045724188288052,2025-04-01 20:34:05
16,127,tanh,18,0.4992936887467897,0.007670067005764097,0.0037791337041805186,2025-04-01 20:52:47
17,128,tanh,4,0.29011692853281806,0.004830300807538372,0.0020017626617724695,2025-04-01 20:55:48
18,49,tanh,11,0.1,0.009198880158309854,0.002158605920461317,2025-04-01 21:00:09
19,87,tanh,18,0.4553033739035518,0.0007051870177159551,0.00031598522521865863,2025-04-01 21:08:15
20,69,tanh,11,0.5,0.0005522343923794681,0.001427041570423171,2025-04-01 21:11:53
